Distance_m;Rayleigh_Peak_Amplitude;Brillouin_Peak_Amplitude;Rayleigh_Peak_Bin;Brillouin_Peak_Bin
17.70;0.161758;0.211215;103.0;207.000000
17.80;0.162533;0.211746;104.0;207.000000
17.90;0.163972;0.212068;104.0;207.000000
18.00;0.165674;0.212189;103.0;207.000000
18.10;0.167674;0.212451;103.0;207.000000
18.20;0.169494;0.212757;103.0;208.000000
18.30;0.171030;0.212625;103.0;208.000000
18.40;0.172464;0.212362;103.0;208.000000
18.50;0.173643;0.212141;103.0;209.000000
18.60;0.174413;0.211722;103.0;209.000000
18.70;0.174619;0.211227;103.0;209.000000
18.80;0.174495;0.210829;103.0;209.000000
18.90;0.173959;0.210814;103.0;209.000000
19.00;0.173083;0.211068;103.0;209.000000
19.10;0.172041;0.211777;103.0;209.000000
19.20;0.170713;0.212564;103.0;209.000000
19.30;0.169474;0.213246;103.0;210.000000
19.40;0.168828;0.213781;103.0;210.000000
19.50;0.168479;0.214217;103.0;210.000000
19.60;0.168348;0.214596;103.0;210.000000
19.70;0.168598;0.214675;103.0;210.000000
19.80;0.169583;0.214517;103.0;210.000000
19.90;0.171256;0.214052;103.0;210.000000
20.00;0.173102;0.213064;103.0;210.000000
20.10;0.174748;0.212016;103.0;209.000000
20.20;0.175914;0.210774;103.0;209.000000
20.30;0.177105;0.209146;103.0;209.000000
20.40;0.178125;0.207327;103.0;208.000000
20.50;0.178732;0.206379;103.0;207.000000
20.60;0.178943;0.206425;103.0;207.000000
20.70;0.178993;0.207132;103.0;207.000000
20.80;0.179009;0.207740;103.0;207.000000
20.90;0.179109;0.207929;103.0;207.000000
21.00;0.179398;0.207697;103.0;207.000000
21.10;0.179882;0.207678;103.0;207.000000
21.20;0.180657;0.208190;103.0;207.000000
21.30;0.181570;0.209081;103.0;208.000000
21.40;0.182278;0.209997;103.0;208.000000
21.50;0.182801;0.210702;103.0;208.000000
21.60;0.183097;0.211100;104.0;209.000000
21.70;0.183401;0.211140;104.0;209.000000
21.80;0.183606;0.210945;104.0;209.000000
21.90;0.183716;0.210462;104.0;209.000000
22.00;0.183719;0.209641;104.0;210.000000
22.10;0.183428;0.208979;104.0;210.000000
22.20;0.182856;0.208332;104.0;210.000000
22.30;0.182161;0.207874;103.0;210.000000
22.40;0.181168;0.207615;103.0;210.000000
22.50;0.179846;0.207600;103.0;209.000000
22.60;0.178174;0.207626;103.0;209.000000
22.70;0.176422;0.207467;103.0;209.000000
22.80;0.174944;0.207169;103.0;208.000000
22.90;0.173867;0.206586;103.0;208.000000
23.00;0.173135;0.206006;103.0;208.000000
23.10;0.172723;0.205864;103.0;208.000000
23.20;0.172508;0.206152;103.0;208.000000
23.30;0.172475;0.206422;103.0;208.000000
23.40;0.172576;0.206346;103.0;207.000000
23.50;0.172898;0.205887;103.0;207.000000
23.60;0.173243;0.204934;103.0;207.000000
23.70;0.173771;0.203846;103.0;207.000000
23.80;0.174231;0.203263;103.0;207.000000
23.90;0.174642;0.203201;103.0;207.000000
24.00;0.174785;0.203563;103.0;207.000000
24.10;0.174791;0.204242;103.0;207.000000
24.20;0.174707;0.205006;103.0;208.000000
24.30;0.174661;0.205665;103.0;208.000000
24.40;0.174264;0.206390;103.0;208.000000
24.50;0.173661;0.207015;103.0;208.000000
24.60;0.172988;0.207794;103.0;207.000000
24.70;0.172209;0.208714;103.0;207.000000
24.80;0.171230;0.209644;103.0;207.000000
24.90;0.170454;0.210148;103.0;207.000000
25.00;0.169879;0.210262;103.0;207.000000
25.10;0.169519;0.210079;103.0;207.000000
25.20;0.169141;0.209966;104.0;208.000000
25.30;0.168892;0.209560;103.0;208.000000
25.40;0.168700;0.209069;103.0;208.000000
25.50;0.168724;0.208351;103.0;209.000000
25.60;0.168802;0.207865;103.0;209.000000
25.70;0.168440;0.207467;103.0;209.000000
25.80;0.167907;0.206962;103.0;209.000000
25.90;0.167208;0.206631;103.0;209.000000
26.00;0.166541;0.206440;103.0;208.000000
26.10;0.166114;0.206334;103.0;208.000000
26.20;0.165868;0.206477;103.0;208.000000
26.30;0.165473;0.207110;103.0;208.000000
26.40;0.165186;0.208135;103.0;208.000000
26.50;0.165162;0.209420;103.0;208.000000
26.60;0.165755;0.210815;104.0;208.000000
26.70;0.166480;0.211778;104.0;208.000000
26.80;0.167217;0.212112;104.0;208.000000
26.90;0.168351;0.212143;104.0;208.000000
27.00;0.169959;0.211988;104.0;208.000000
27.10;0.172130;0.211315;104.0;208.000000
27.20;0.174673;0.210259;104.0;208.000000
27.30;0.177613;0.209091;103.0;208.000000
27.40;0.180809;0.207935;103.0;207.000000
27.50;0.183699;0.206714;103.0;207.000000
27.60;0.185969;0.205729;103.0;207.000000
27.70;0.187691;0.204959;103.0;208.000000
27.80;0.189064;0.204454;103.0;208.000000
27.90;0.189838;0.204173;103.0;208.000000
28.00;0.189648;0.204203;103.0;207.000000
28.10;0.188553;0.204520;103.0;207.000000
28.20;0.186785;0.204937;104.0;207.000000
28.30;0.184371;0.205412;104.0;206.000000
28.40;0.181083;0.205984;104.0;206.000000
28.50;0.177216;0.206461;104.0;206.000000
28.60;0.173278;0.206989;103.0;206.000000
28.70;0.169876;0.207457;103.0;206.000000
28.80;0.167122;0.207707;103.0;206.000000
28.90;0.165040;0.207994;103.0;207.000000
29.00;0.163516;0.208278;103.0;207.000000
29.10;0.162351;0.208446;103.0;207.000000
29.20;0.161745;0.208497;103.0;207.000000
29.30;0.161704;0.208225;103.0;207.000000
29.40;0.162051;0.207802;103.0;207.000000
29.50;0.162468;0.207266;103.0;207.000000
29.60;0.162766;0.206593;103.0;207.000000
29.70;0.162818;0.205855;103.0;207.000000
29.80;0.162723;0.204793;103.0;207.000000
29.90;0.162601;0.203926;103.0;206.000000
30.00;0.162706;0.203726;103.0;206.000000
30.10;0.163125;0.203786;103.0;206.000000
30.20;0.163789;0.204012;103.0;205.000000
30.30;0.164767;0.203891;103.0;205.000000
30.40;0.166319;0.203380;103.0;205.000000
30.50;0.168179;0.202883;103.0;205.000000
30.60;0.170212;0.202391;103.0;205.000000
30.70;0.172306;0.202314;103.0;205.000000
30.80;0.174230;0.202553;103.0;205.000000
30.90;0.176123;0.203518;103.0;206.000000
31.00;0.178049;0.204870;103.0;207.000000
31.10;0.179659;0.206400;103.0;207.000000
31.20;0.180775;0.207820;103.0;207.000000
31.30;0.181532;0.208676;103.0;207.000000
31.40;0.181512;0.208932;103.0;207.000000
31.50;0.180763;0.208869;103.0;207.000000
31.60;0.179399;0.208300;103.0;207.000000
31.70;0.177637;0.207543;103.0;207.000000
31.80;0.175783;0.207231;103.0;208.000000
31.90;0.174175;0.207466;103.0;209.000000
32.00;0.172839;0.208160;103.0;209.000000
32.10;0.171715;0.208700;103.0;209.000000
32.20;0.170782;0.209053;103.0;210.000000
32.30;0.170584;0.209449;103.0;210.000000
32.40;0.170843;0.209680;103.0;210.000000
32.50;0.171220;0.209532;103.0;210.000000
32.60;0.171447;0.209024;103.0;210.000000
32.70;0.171659;0.208237;103.0;210.000000
32.80;0.171916;0.207407;103.0;210.000000
32.90;0.171950;0.206704;103.0;210.000000
33.00;0.172006;0.206233;103.0;210.000000
33.10;0.172049;0.205992;103.0;210.000000
33.20;0.171983;0.205837;103.0;211.000000
33.30;0.171943;0.205732;103.0;211.000000
33.40;0.171950;0.205498;103.0;211.000000
33.50;0.171884;0.205290;103.0;211.000000
33.60;0.172085;0.205235;103.0;211.000000
33.70;0.172458;0.205328;103.0;211.000000
33.80;0.172830;0.205424;103.0;210.000000
33.90;0.173428;0.205813;103.0;210.000000
34.00;0.174275;0.206509;103.0;210.000000
34.10;0.175586;0.207332;103.0;210.000000
34.20;0.177125;0.207792;103.0;210.000000
34.30;0.178604;0.207767;103.0;210.000000
34.40;0.180191;0.207715;103.0;210.000000
34.50;0.181543;0.208099;103.0;209.000000
34.60;0.182461;0.208439;103.0;209.000000
34.70;0.183187;0.208906;103.0;210.000000
34.80;0.183402;0.209648;103.0;210.000000
34.90;0.183419;0.210356;104.0;210.000000
35.00;0.183488;0.210559;104.0;210.000000
35.10;0.183266;0.210358;104.0;210.000000
35.20;0.182852;0.209714;103.0;210.000000
35.30;0.182495;0.208710;103.0;210.000000
35.40;0.182496;0.207612;103.0;209.000000
35.50;0.182963;0.206590;103.0;209.000000
35.60;0.183473;0.205641;103.0;209.000000
35.70;0.183918;0.204997;103.0;208.000000
35.80;0.184206;0.204938;103.0;207.000000
35.90;0.184301;0.205045;103.0;207.000000
36.00;0.184332;0.205101;103.0;206.000000
36.10;0.183954;0.204967;103.0;206.000000
36.20;0.183023;0.205220;103.0;206.000000
36.30;0.181432;0.205927;103.0;207.000000
36.40;0.179167;0.206809;103.0;207.000000
36.50;0.176351;0.207666;103.0;207.000000
36.60;0.173397;0.208081;103.0;207.000000
36.70;0.170595;0.208110;103.0;207.000000
36.80;0.168381;0.208204;103.0;207.000000
36.90;0.166980;0.208350;103.0;206.000000
37.00;0.166903;0.208492;103.0;206.000000
37.10;0.168180;0.208283;103.0;206.000000
37.20;0.170465;0.208042;103.0;207.000000
37.30;0.173298;0.208014;103.0;207.000000
37.40;0.176198;0.207962;103.0;207.000000
37.50;0.178799;0.207870;103.0;207.000000
37.60;0.180663;0.207805;103.0;207.000000
37.70;0.181664;0.207572;103.0;207.000000
37.80;0.181926;0.207219;103.0;207.000000
37.90;0.181975;0.207040;103.0;207.000000
38.00;0.181794;0.207147;104.0;207.000000
38.10;0.181018;0.207569;104.0;207.000000
38.20;0.179830;0.208047;104.0;208.000000
38.30;0.178613;0.208450;104.0;208.000000
38.40;0.177465;0.208624;104.0;208.000000
38.50;0.176713;0.208591;104.0;208.000000
38.60;0.176635;0.208700;104.0;208.000000
38.70;0.176966;0.209120;104.0;208.000000
38.80;0.177458;0.209400;104.0;207.000000
38.90;0.177933;0.209682;104.0;207.000000
39.00;0.178728;0.209730;104.0;208.000000
39.10;0.180154;0.209484;104.0;208.000000
39.20;0.181991;0.209286;104.0;208.000000
39.30;0.183811;0.209122;104.0;209.000000
39.40;0.185246;0.208605;104.0;209.000000
39.50;0.186263;0.208037;104.0;209.000000
39.60;0.186819;0.207677;104.0;209.000000
39.70;0.187126;0.207428;103.0;209.000000
39.80;0.187394;0.207371;103.0;209.000000
39.90;0.187530;0.207648;103.0;209.000000
40.00;0.187666;0.208136;103.0;209.000000
40.10;0.187845;0.208561;103.0;209.000000
40.20;0.188279;0.208494;103.0;209.000000
40.30;0.188697;0.208146;104.0;209.000000
40.40;0.189064;0.207872;104.0;209.000000
40.50;0.188952;0.207943;104.0;210.000000
40.60;0.188196;0.208060;104.0;210.000000
40.70;0.187164;0.208337;104.0;210.000000
40.80;0.185915;0.209076;103.0;209.000000
40.90;0.184131;0.209762;103.0;209.000000
41.00;0.181959;0.209899;103.0;209.000000
41.10;0.179681;0.209387;103.0;209.000000
41.20;0.177700;0.208467;103.0;209.000000
41.30;0.175952;0.207746;103.0;209.000000
41.40;0.174342;0.207689;103.0;209.000000
41.50;0.172650;0.208084;103.0;210.000000
41.60;0.170672;0.208988;103.0;210.000000
41.70;0.168841;0.210165;103.0;210.000000
41.80;0.167313;0.211226;103.0;210.000000
41.90;0.166545;0.211480;103.0;211.000000
42.00;0.166569;0.211173;103.0;211.000000
42.10;0.167483;0.211010;104.0;211.000000
42.20;0.169108;0.210890;104.0;211.000000
42.30;0.171341;0.210661;104.0;210.000000
42.40;0.173953;0.210290;104.0;210.000000
42.50;0.176349;0.209894;104.0;210.000000
42.60;0.178520;0.209314;104.0;209.000000
42.70;0.180403;0.208331;103.0;209.000000
42.80;0.181883;0.207169;103.0;209.000000
42.90;0.183100;0.205833;103.0;209.000000
43.00;0.184523;0.204458;103.0;208.000000
43.10;0.185941;0.203432;103.0;209.000000
43.20;0.187147;0.202979;103.0;209.000000
43.30;0.188277;0.202957;103.0;209.000000
43.40;0.189154;0.203580;103.0;209.000000
43.50;0.189578;0.204664;103.0;209.000000
43.60;0.189735;0.205624;103.0;209.000000
43.70;0.189448;0.205996;103.0;209.000000
43.80;0.188702;0.206068;103.0;208.000000
43.90;0.187575;0.205590;103.0;208.000000
44.00;0.186244;0.204608;103.0;208.000000
44.10;0.184910;0.203732;103.0;208.000000
44.20;0.183680;0.203672;103.0;208.000000
44.30;0.182655;0.204385;103.0;208.000000
44.40;0.181914;0.205680;103.0;208.000000
44.50;0.181523;0.207232;103.0;208.000000
44.60;0.181134;0.208377;104.0;208.000000
44.70;0.180413;0.209019;104.0;208.000000
44.80;0.179280;0.209082;104.0;208.000000
44.90;0.178055;0.208967;104.0;208.000000
45.00;0.176893;0.209041;104.0;208.000000
45.10;0.175892;0.209245;104.0;209.000000
45.20;0.175194;0.209464;104.0;209.000000
45.30;0.174550;0.210003;104.0;209.000000
45.40;0.173877;0.210806;104.0;209.000000
45.50;0.173176;0.211688;104.0;208.000000
45.60;0.172561;0.212200;104.0;208.000000
45.70;0.171955;0.212111;103.0;208.000000
45.80;0.171277;0.211941;103.0;208.000000
45.90;0.170645;0.211955;103.0;208.000000
46.00;0.170613;0.211965;103.0;208.000000
46.10;0.171262;0.212031;103.0;208.000000
46.20;0.172619;0.212025;103.0;208.000000
46.30;0.174472;0.212018;103.0;208.000000
46.40;0.176475;0.212036;103.0;207.000000
46.50;0.178383;0.211979;103.0;207.000000
46.60;0.179974;0.211807;103.0;207.000000
46.70;0.181263;0.211601;103.0;207.000000
46.80;0.182301;0.211664;103.0;206.000000
46.90;0.183116;0.211607;103.0;205.000000
47.00;0.183647;0.211646;103.0;205.000000
47.10;0.183786;0.211729;103.0;205.000000
47.20;0.183912;0.211800;103.0;205.000000
47.30;0.184120;0.211769;103.0;205.000000
47.40;0.184122;0.211728;103.0;205.000000
47.50;0.183906;0.211682;104.0;205.000000
47.60;0.183213;0.211389;104.0;205.000000
47.70;0.182271;0.210906;104.0;205.000000
47.80;0.181248;0.210361;104.0;206.000000
47.90;0.180305;0.209993;104.0;206.000000
48.00;0.179692;0.209729;104.0;206.000000
48.10;0.179197;0.209381;104.0;206.000000
48.20;0.178807;0.208831;104.0;206.000000
48.30;0.178545;0.208223;104.0;206.000000
48.40;0.178477;0.207846;104.0;206.000000
48.50;0.178559;0.207907;104.0;206.000000
48.60;0.178688;0.208289;104.0;206.000000
48.70;0.178800;0.208500;104.0;206.000000
48.80;0.178667;0.208438;104.0;206.000000
48.90;0.178381;0.208479;103.0;205.000000
49.00;0.178153;0.208754;103.0;205.000000
49.10;0.177980;0.209095;103.0;205.000000
49.20;0.178062;0.209562;103.0;205.000000
49.30;0.178300;0.210277;103.0;205.000000
49.40;0.178566;0.211175;103.0;205.000000
49.50;0.178779;0.211981;104.0;205.000000
49.60;0.178898;0.212403;104.0;204.000000
49.70;0.178967;0.212555;104.0;204.000000
49.80;0.179025;0.212369;104.0;204.000000
49.90;0.178924;0.212078;104.0;204.000000
50.00;0.178905;0.212006;104.0;204.000000
50.10;0.178806;0.211794;104.0;204.000000
50.20;0.178525;0.211364;104.0;204.000000
50.30;0.178203;0.210887;104.0;204.000000
50.40;0.178295;0.210444;104.0;205.000000
50.50;0.178986;0.210199;104.0;205.000000
50.60;0.180394;0.210141;104.0;205.000000
50.70;0.182384;0.209995;104.0;205.000000
50.80;0.184565;0.209583;104.0;204.000000
50.90;0.186418;0.209076;104.0;204.000000
51.00;0.187711;0.208582;104.0;204.000000
51.10;0.188301;0.207958;104.0;204.000000
